a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
14.0,0.0,1.0,1.0,0.0,12.0,12.0,2.0,1.0,6.0,8.0,2.0,7.0,2.0,28.0,0.0,5540.42,7931.75,6683.0,201.0,1581.17,2725.0,10269.5,4070.43,4431.5,0.0,0.0,0.0,0.0,0.0,0.006095944871455181
6.0,0.0,0.0,1.0,0.0,5.0,10.0,0.0,1.0,2.0,4.0,2.0,2.0,9121.2,9074.0,0.0,201.0,1943.0,3118.5,10269.5,2207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005268703898840773
8.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0,1.0,2.0,5.0,2.0,3.0,9121.2,7931.75,0.0,201.0,1943.0,2992.8,10269.5,3409.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445492662473799
4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,9275.0,2.0,0.0,201.0,2008.5,2786.0,0.0,4227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031307070180016843
6.0,0.0,2.0,0.0,0.0,5.0,8.0,2.0,1.0,4.0,4.0,11274.0,7.0,1.0,9113.0,5091.75,5566.0,201.0,1518.0,3442.5,0.0,2979.29,3859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001820546163849162
6.0,0.0,2.0,0.0,0.0,7.0,7.0,4.0,1059.0,3.0,4.0,0.0,7.0,2.0,5312.71,4417.5,0.0,988.0,2904.0,0.0,3099.0,2462.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000778816199376792
13.0,0.0,3.0,0.0,1.0,13.0,20.0,12.0,2.0,11.0,10.0,5.0,11.0,3.0,0.0,52618.0,6083.31,4160.7,4402.75,35.5,3502.82,3752.2,4870.8,2859.73,2039.67,0.0,0.0,0.0,0.0,0.0,-0.0005188067444875751
2.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,1604.0,2.0,2.0,0.0,5.0,1.0,5000.2,5288.0,0.0,1027.5,3317.0,0.0,2356.4,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00545029846872569
18.0,0.0,2.0,0.0,1.0,14.0,24.0,13.0,3.0,18.0,10.0,10.0,11.0,2.0,0.0,52618.0,4171.21,3842.29,5747.08,86.0,3202.94,4407.5,12829.6,5340.55,1172.5,0.0,0.0,0.0,0.0,0.0,-0.004958246346555264
8.0,0.0,1.0,0.0,1.0,7.0,10.0,7.0,2.0,10.0,4.0,6.0,3.0,1.0,0.0,52618.0,2603.57,2932.3,4566.86,35.5,3405.3,6187.25,18847.83,1154.0,1194.0,0.0,0.0,0.0,0.0,0.0,-0.006294256490952058
5.0,0.0,1.0,0.0,1.0,3.0,8.0,5.0,1.0,8.0,4.0,5.0,2.0,0.0,52618.0,5051.0,3386.25,2432.4,37.0,3165.12,6187.25,4870.8,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00818157825283722
4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,6.0,2.0,3.0,3.0,861.67,1475.67,2728.0,37.0,2495.0,2833.5,34463.0,1154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009579563597658314
6.0,0.0,1.0,0.0,0.0,4.0,6.0,4.0,1.0,6.0,2.0,5.0,2.0,0.0,1632.25,4236.0,8232.0,187.0,2084.5,7989.5,20788.4,9905.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011015583019881692
7.0,1.0,3.0,0.0,0.0,3.0,5.0,4.0,1.0,8.0,3.0,1.0,7.0,1.0,0.0,0.0,15061.33,4724.0,5383.25,187.0,2363.75,2244.0,8219.0,8122.86,1151.0,0.0,0.0,0.0,0.0,0.0,-0.02635153490899209
8.0,1.0,3.0,0.0,0.0,3.0,8.0,4.0,2.0,9.0,4.0,2.0,8.0,1.0,0.0,0.0,15061.33,4055.12,5383.25,132.5,2402.56,4707.75,6259.5,7571.75,1151.0,0.0,0.0,0.0,0.0,0.0,-0.01534598214285726
1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,15565.0,3.0,1.0,0.0,3334.5,1095.0,0.0,9203.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017001983564749263
