a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
1.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,1992.0,12.0,10.0,2.0,8.0,6110.0,16840.0,17225.0,717.62,0.0,8336.92,56510.5,7344.5,1940.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016500622665006154
0.0,0.0,0.0,0.0,3.0,37493.0,0.0,0.0,0.0,0.0,0.0,1.0,7280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005698005698005689
0.0,1.0,3.0,0.0,3.0,2.0,4.0,2.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,37493.0,6570.5,13769.0,8007.5,0.0,27757.0,20385.0,15107.8,8973.0,411.0,1668.0,0.0,0.0,0.0,0.0,-0.005730659025787957
0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,17505.0,3.0,1.0,1.0,12.0,0.0,2649.0,0.0,7229.33,13550.0,1991.0,1239.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005123278898495042
7.0,4.0,8.0,0.0,1.0,11.0,18.0,11.0,13.0,16.0,18.0,8.0,29.0,9.0,2.0,9408.12,0.0,59811.0,6821.82,3404.83,8034.0,470.0,6782.44,3864.78,23321.62,4716.52,2079.11,433.0,0.0,0.0,-0.0051496620534277485
8.0,5.0,9.0,0.0,1.0,13.0,21.0,11.0,14.0,16.0,21.0,9.0,29.0,11.0,2.0,9045.33,0.0,59811.0,7129.23,3312.29,8034.0,479.64,6782.44,3789.57,22706.11,4716.52,1828.55,433.0,0.0,0.0,-0.004852798447104451
1.0,1.0,2.0,0.0,0.0,10.0,12.0,3.0,6.0,3.0,7.0,3.0,7.0,7.0,0.0,0.0,5329.8,3076.92,11185.67,385.33,8716.67,3900.86,21731.67,8996.14,1636.0,0.0,0.0,0.0,0.0,0.0,-0.004551365409622905
5.0,9.0,5.0,2.0,0.0,29.0,37.0,13.0,19.0,28.0,38.0,7.0,16.0,6.0,2.0,9088.6,80.5,0.0,5668.21,3260.46,8509.92,937.37,5351.96,2541.95,32493.0,6769.94,907.5,681.5,0.0,0.0,-0.007184846505552006
0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,109.0,1.0,1.0,0.0,2.0,1.0,1590.0,5870.0,0.0,8059.0,1953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002960526315789469
0.0,3.0,0.0,1.0,0.0,6.0,10.0,4.0,13.0,11.0,8.0,492.0,4.0,2.0,1.0,6875.0,4383.4,7256.75,635.23,6900.73,2329.25,0.0,4792.0,1390.5,620.0,0.0,0.0,0.0,0.0,0.0,-0.00230946882217091
