La Libertad Avanza,Union por la Patria,Fuente,fecha_mediana,La Libertad Avanza_Encuestas,Union por la Patria_Encuestas,dia,mes
1183.0,2982.0,14,2023-11-03,46.97786131996695,44.00850656051898,3,11
665.0,1323.0,15,2023-11-03,46.97786131996695,44.00850656051898,3,11
0.0,0.0,1,2023-11-02,47.17908005307413,43.95767359575412,2,11
0.0,937.0,2,2023-11-02,47.17908005307413,43.95767359575412,2,11
15366.0,15366.0,3,2023-11-02,47.17908005307413,43.95767359575412,2,11
0.0,0.0,4,2023-11-02,47.17908005307413,43.95767359575412,2,11
0.0,0.0,5,2023-11-02,47.17908005307413,43.95767359575412,2,11
8060.0,10689.0,6,2023-11-02,47.17908005307413,43.95767359575412,2,11
7238.0,4958.0,7,2023-11-02,47.17908005307413,43.95767359575412,2,11
12652.0,9683.5,8,2023-11-02,47.17908005307413,43.95767359575412,2,11
11711.0,11711.0,9,2023-11-02,47.17908005307413,43.95767359575412,2,11
4445.0,19461.0,10,2023-11-02,47.17908005307413,43.95767359575412,2,11
4466.5,2787.0,11,2023-11-02,47.17908005307413,43.95767359575412,2,11
20397.0,12586.0,12,2023-11-02,47.17908005307413,43.95767359575412,2,11
6836.5,9657.0,13,2023-11-02,47.17908005307413,43.95767359575412,2,11
1183.0,1679.0,14,2023-11-02,47.17908005307413,43.95767359575412,2,11
0.0,0.0,15,2023-11-02,47.17908005307413,43.95767359575412,2,11
0.0,0.0,1,2023-11-02,47.30496830311087,43.91475011057055,2,11
0.0,937.0,2,2023-11-02,47.30496830311087,43.91475011057055,2,11
15366.0,15366.0,3,2023-11-02,47.30496830311087,43.91475011057055,2,11
0.0,0.0,4,2023-11-02,47.30496830311087,43.91475011057055,2,11
0.0,0.0,5,2023-11-02,47.30496830311087,43.91475011057055,2,11
8060.0,10689.0,6,2023-11-02,47.30496830311087,43.91475011057055,2,11
8372.5,4958.0,7,2023-11-02,47.30496830311087,43.91475011057055,2,11
11358.0,7036.0,8,2023-11-02,47.30496830311087,43.91475011057055,2,11
11711.0,11711.0,9,2023-11-02,47.30496830311087,43.91475011057055,2,11
4445.0,19461.0,10,2023-11-02,47.30496830311087,43.91475011057055,2,11
4466.5,2787.0,11,2023-11-02,47.30496830311087,43.91475011057055,2,11
20397.0,12586.0,12,2023-11-02,47.30496830311087,43.91475011057055,2,11
6412.0,8459.0,13,2023-11-02,47.30496830311087,43.91475011057055,2,11
1183.0,1431.0,14,2023-11-02,47.30496830311087,43.91475011057055,2,11
0.0,0.0,15,2023-11-02,47.30496830311087,43.91475011057055,2,11
1544.5,0.0,1,2023-11-03,47.406105783621285,43.90152051251122,3,11
0.0,601.0,2,2023-11-03,47.406105783621285,43.90152051251122,3,11
0.0,0.0,3,2023-11-03,47.406105783621285,43.90152051251122,3,11
0.0,0.0,4,2023-11-03,47.406105783621285,43.90152051251122,3,11
0.0,0.0,5,2023-11-03,47.406105783621285,43.90152051251122,3,11
4093.0,4457.5,6,2023-11-03,47.406105783621285,43.90152051251122,3,11
8410.5,10411.5,7,2023-11-03,47.406105783621285,43.90152051251122,3,11
7305.0,7282.0,8,2023-11-03,47.406105783621285,43.90152051251122,3,11
0.0,0.0,9,2023-11-03,47.406105783621285,43.90152051251122,3,11
4155.0,24475.0,10,2023-11-03,47.406105783621285,43.90152051251122,3,11
4377.0,2426.0,11,2023-11-03,47.406105783621285,43.90152051251122,3,11
0.0,5722.0,12,2023-11-03,47.406105783621285,43.90152051251122,3,11
8034.5,9657.0,13,2023-11-03,47.406105783621285,43.90152051251122,3,11
1027.0,656.0,14,2023-11-03,47.406105783621285,43.90152051251122,3,11
0.0,0.0,15,2023-11-03,47.406105783621285,43.90152051251122,3,11
906.0,888.5,1,2023-11-06,47.53307220814946,43.93976920911904,6,11
0.0,1838.0,2,2023-11-06,47.53307220814946,43.93976920911904,6,11
4180.0,9835.0,3,2023-11-06,47.53307220814946,43.93976920911904,6,11
989.5,158.0,4,2023-11-06,47.53307220814946,43.93976920911904,6,11
0.0,0.0,5,2023-11-06,47.53307220814946,43.93976920911904,6,11
6669.0,8085.0,6,2023-11-06,47.53307220814946,43.93976920911904,6,11
8484.5,7478.0,7,2023-11-06,47.53307220814946,43.93976920911904,6,11
6831.0,7802.0,8,2023-11-06,47.53307220814946,43.93976920911904,6,11
569.0,604.0,9,2023-11-06,47.53307220814946,43.93976920911904,6,11
3004.0,5186.0,10,2023-11-06,47.53307220814946,43.93976920911904,6,11
4377.0,3996.0,11,2023-11-06,47.53307220814946,43.93976920911904,6,11
23595.0,10097.5,12,2023-11-06,47.53307220814946,43.93976920911904,6,11
6461.5,10409.5,13,2023-11-06,47.53307220814946,43.93976920911904,6,11
1027.0,1183.0,14,2023-11-06,47.53307220814946,43.93976920911904,6,11
477.0,809.5,15,2023-11-06,47.53307220814946,43.93976920911904,6,11
1301.0,557.0,1,2023-11-06,47.73644729023953,44.05128060793692,6,11
0.0,3075.0,2,2023-11-06,47.73644729023953,44.05128060793692,6,11
4180.0,9835.0,3,2023-11-06,47.73644729023953,44.05128060793692,6,11
989.5,158.0,4,2023-11-06,47.73644729023953,44.05128060793692,6,11
0.0,0.0,5,2023-11-06,47.73644729023953,44.05128060793692,6,11
6669.0,7568.0,6,2023-11-06,47.73644729023953,44.05128060793692,6,11
7386.0,8444.0,7,2023-11-06,47.73644729023953,44.05128060793692,6,11
5725.5,7282.0,8,2023-11-06,47.73644729023953,44.05128060793692,6,11
569.0,604.0,9,2023-11-06,47.73644729023953,44.05128060793692,6,11
2480.0,4387.5,10,2023-11-06,47.73644729023953,44.05128060793692,6,11
3420.5,5039.0,11,2023-11-06,47.73644729023953,44.05128060793692,6,11
0.0,0.0,12,2023-11-06,47.73644729023953,44.05128060793692,6,11
7443.0,8342.0,13,2023-11-06,47.73644729023953,44.05128060793692,6,11
1216.0,1522.0,14,2023-11-06,47.73644729023953,44.05128060793692,6,11
665.0,1323.0,15,2023-11-06,47.73644729023953,44.05128060793692,6,11
511.0,751.0,1,2023-11-07,48.06681074343558,44.25783911650779,7,11
0.0,3075.0,2,2023-11-07,48.06681074343558,44.25783911650779,7,11
5052.0,6450.5,3,2023-11-07,48.06681074343558,44.25783911650779,7,11
989.5,158.0,4,2023-11-07,48.06681074343558,44.25783911650779,7,11
0.0,0.0,5,2023-11-07,48.06681074343558,44.25783911650779,7,11
10829.0,8826.0,6,2023-11-07,48.06681074343558,44.25783911650779,7,11
8530.0,7541.5,7,2023-11-07,48.06681074343558,44.25783911650779,7,11
6831.0,7819.0,8,2023-11-07,48.06681074343558,44.25783911650779,7,11
939.0,939.0,9,2023-11-07,48.06681074343558,44.25783911650779,7,11
3910.0,5771.0,10,2023-11-07,48.06681074343558,44.25783911650779,7,11
2845.0,3482.0,11,2023-11-07,48.06681074343558,44.25783911650779,7,11
12127.0,9847.0,12,2023-11-07,48.06681074343558,44.25783911650779,7,11
9086.0,9181.0,13,2023-11-07,48.06681074343558,44.25783911650779,7,11
1020.0,1214.0,14,2023-11-07,48.06681074343558,44.25783911650779,7,11
665.0,1323.0,15,2023-11-07,48.06681074343558,44.25783911650779,7,11
507.0,751.0,1,2023-11-07,48.574742281281736,44.581229142374575,7,11
0.0,3075.0,2,2023-11-07,48.574742281281736,44.581229142374575,7,11
5479.5,7849.0,3,2023-11-07,48.574742281281736,44.581229142374575,7,11
989.5,158.0,4,2023-11-07,48.574742281281736,44.581229142374575,7,11
0.0,0.0,5,2023-11-07,48.574742281281736,44.581229142374575,7,11
13095.0,9764.0,6,2023-11-07,48.574742281281736,44.581229142374575,7,11
7386.0,7113.0,7,2023-11-07,48.574742281281736,44.581229142374575,7,11
7325.0,8080.0,8,2023-11-07,48.574742281281736,44.581229142374575,7,11
569.0,1057.0,9,2023-11-07,48.574742281281736,44.581229142374575,7,11
3910.0,5186.0,10,2023-11-07,48.574742281281736,44.581229142374575,7,11
2845.0,5362.0,11,2023-11-07,48.574742281281736,44.581229142374575,7,11
23595.0,14473.0,12,2023-11-07,48.574742281281736,44.581229142374575,7,11
5556.0,8956.5,13,2023-11-07,48.574742281281736,44.581229142374575,7,11
1020.0,1214.0,14,2023-11-07,48.574742281281736,44.581229142374575,7,11
560.0,809.5,15,2023-11-07,48.574742281281736,44.581229142374575,7,11
509.0,760.0,1,2023-11-07,49.31082161732209,45.043235093080185,7,11
0.0,0.0,2,2023-11-07,49.31082161732209,45.043235093080185,7,11
6779.0,7849.0,3,2023-11-07,49.31082161732209,45.043235093080185,7,11
0.0,0.0,4,2023-11-07,49.31082161732209,45.043235093080185,7,11
0.0,0.0,5,2023-11-07,49.31082161732209,45.043235093080185,7,11
14138.0,13095.0,6,2023-11-07,49.31082161732209,45.043235093080185,7,11
8771.5,5500.0,7,2023-11-07,49.31082161732209,45.043235093080185,7,11
7819.0,15362.0,8,2023-11-07,49.31082161732209,45.043235093080185,7,11
0.0,1597.0,9,2023-11-07,49.31082161732209,45.043235093080185,7,11
4689.0,5186.0,10,2023-11-07,49.31082161732209,45.043235093080185,7,11
2673.5,3482.0,11,2023-11-07,49.31082161732209,45.043235093080185,7,11
23595.0,14473.0,12,2023-11-07,49.31082161732209,45.043235093080185,7,11
8526.5,8956.5,13,2023-11-07,49.31082161732209,45.043235093080185,7,11
824.0,824.0,14,2023-11-07,49.31082161732209,45.043235093080185,7,11
455.0,296.0,15,2023-11-07,49.31082161732209,45.043235093080185,7,11
0.0,2384.0,1,2023-11-10,50.32562846510076,45.66564137616756,10,11
0.0,0.0,2,2023-11-10,50.32562846510076,45.66564137616756,10,11
5164.0,5164.0,3,2023-11-10,50.32562846510076,45.66564137616756,10,11
215.0,0.0,4,2023-11-10,50.32562846510076,45.66564137616756,10,11
0.0,0.0,5,2023-11-10,50.32562846510076,45.66564137616756,10,11
7711.5,4818.5,6,2023-11-10,50.32562846510076,45.66564137616756,10,11
7217.0,6945.0,7,2023-11-10,50.32562846510076,45.66564137616756,10,11
9195.0,7912.0,8,2023-11-10,50.32562846510076,45.66564137616756,10,11
2988.0,2988.0,9,2023-11-10,50.32562846510076,45.66564137616756,10,11
9597.0,10708.0,10,2023-11-10,50.32562846510076,45.66564137616756,10,11
4141.0,4066.0,11,2023-11-10,50.32562846510076,45.66564137616756,10,11
22872.0,0.0,12,2023-11-10,50.32562846510076,45.66564137616756,10,11
7269.0,10546.0,13,2023-11-10,50.32562846510076,45.66564137616756,10,11
828.0,762.5,14,2023-11-10,50.32562846510076,45.66564137616756,10,11
0.0,0.0,15,2023-11-10,50.32562846510076,45.66564137616756,10,11
588.0,401.5,1,2023-11-13,51.66974253816184,46.4702323991796,13,11
1984.5,1582.0,2,2023-11-13,51.66974253816184,46.4702323991796,13,11
4280.0,4280.0,3,2023-11-13,51.66974253816184,46.4702323991796,13,11
484.5,858.0,4,2023-11-13,51.66974253816184,46.4702323991796,13,11
0.0,0.0,5,2023-11-13,51.66974253816184,46.4702323991796,13,11
8575.0,6340.5,6,2023-11-13,51.66974253816184,46.4702323991796,13,11
6439.0,3288.0,7,2023-11-13,51.66974253816184,46.4702323991796,13,11
4933.0,4768.0,8,2023-11-13,51.66974253816184,46.4702323991796,13,11
882.5,834.0,9,2023-11-13,51.66974253816184,46.4702323991796,13,11
3128.0,3763.0,10,2023-11-13,51.66974253816184,46.4702323991796,13,11
3491.0,2262.0,11,2023-11-13,51.66974253816184,46.4702323991796,13,11
10454.0,13206.0,12,2023-11-13,51.66974253816184,46.4702323991796,13,11
5384.5,5874.0,13,2023-11-13,51.66974253816184,46.4702323991796,13,11
1003.0,987.0,14,2023-11-13,51.66974253816184,46.4702323991796,13,11
1758.0,1758.0,15,2023-11-13,51.66974253816184,46.4702323991796,13,11
