,Fecha,Encuestadora,Muestra,Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Otros,Blanco,Indecisos,Ventaja,Inicio,Final
147,5 - 9 de abril de 2023,Taquion[111]​,2566,21.4,30.1,24.3,4.8,2.5,0.0,9.5,7.5,5.8,2023-04-05,2023-04-09
148,3 - 9 de abril de 2023,Inteligencia Analítica[112]​,9754,18.7,23.6,20.8,0.0,5.3,0.0,0.0,31.6,2.8,2023-04-03,2023-04-09
149,2 - 4 de abril de 2023,GOP y Trespuntozero[113]​,2000,27.7,36.0,19.3,0.0,1.2,0.0,5.7,10.1,8.3,2023-04-02,2023-04-04
150,2 - 4 de abril de 2023,GOP y Trespuntozero[113]​,2000,30.0,36.6,19.1,0.0,1.1,0.0,2.8,10.4,6.6,2023-04-02,2023-04-04
151,27 de marzo - 2 de abril de 2023,Inteligencia Analítica[114]​,9944,20.5,22.7,20.3,0.0,5.8,0.0,0.0,30.7,2.2,2023-03-27,2023-04-02
152,28 - 31 de marzo de 2023,Analogías[115]​,2658,25.2,24.5,20.7,0.0,3.5,0.0,5.0,21.1,0.7,2023-03-28,2023-03-31
153,22 - 30 de marzo de 2023,UdeSA[116]​,1001,15.0,23.0,11.0,5.0,4.0,6.0,4.0,23.0,8.0,2023-03-22,2023-03-30
154,27 - 29 de marzo de 2023,Federico González & Asociados[117]​,1800,25.2,31.5,15.2,4.6,3.3,4.8,5.3,10.1,6.3,2023-03-27,2023-03-29
155,Marzo de 2023,Poliarquía[118]​,0,27.0,25.0,23.0,0.0,5.0,2.0,0.0,18.0,2.0,2023-03-01,2023-03-01
156,Marzo de 2023,Poliarquía[118]​,0,35.0,33.0,23.0,3.0,3.0,0.0,1.0,3.0,2.0,2023-03-01,2023-03-01
157,17 - 27 de marzo de 2023,Mucho en Común[119]​,1821,10.0,10.0,25.0,0.0,0.0,2.0,19.0,33.0,15.0,2023-03-17,2023-03-27
158,14 - 23 de marzo de 2023,Opinaia[120]​,2000,20.0,29.0,20.0,4.0,3.0,0.0,5.0,19.0,9.0,2023-03-14,2023-03-23
159,13 - 18 de marzo de 2023,Consultora Tendencias[121]​,8206,27.5,30.6,18.5,2.4,6.2,0.4,4.5,9.9,3.1,2023-03-13,2023-03-18
160,8 - 16 de marzo de 2023,Synopsis[122]​,1643,23.4,27.4,14.6,9.2,5.3,0.0,0.0,0.0,4.0,2023-03-08,2023-03-16
161,6 - 13 de marzo de 2023,Clivajes Consultores[123]​,1395,26.7,20.8,28.4,0.0,0.0,0.0,0.0,24.1,1.7,2023-03-06,2023-03-13
162,Febrero de 2023,Aresco[124]​,4000,33.0,36.9,20.6,0.0,0.0,3.5,0.0,6.0,3.9,2023-02-01,2023-02-01
163,14 - 28 de febrero de 2023,Management & Fit[125]​,2200,23.6,25.7,20.4,0.0,0.0,14.3,0.0,16.0,2.1,2023-02-14,2023-02-28
