,a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
15,1.0,0.0,1.0,0.0,0.0,6.0,9.0,2.0,1.0,1.0,4.0,1.0,0.0,7719.0,4407.666666666667,3318.0,1622.0,2969.0,10041.5,27163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014695077149155113
16,1.0,0.0,1.0,0.0,0.0,6.0,8.0,2.0,1.0,1.0,4.0,1.0,0.0,7719.0,4260.875,3318.0,1622.0,2969.0,10041.5,27163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013034033309196214
17,1.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0,0.0,2.0,9060.0,3762.0,3318.0,1622.0,0.0,9189.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011794138670478852
18,1.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,5.0,0.0,7719.0,4870.2,3318.0,1622.0,2969.0,9762.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009890498057223637
19,8.0,3.0,8.0,0.0,0.0,14.0,21.0,7.0,0.0,18.0,6.0,8.0,8.0,4.0,0.0,8896.92857142857,5547.523809523809,8231.142857142857,0.0,6621.277777777777,10732.166666666666,26912.75,9064.625,1840.75,0.0,0.0,0.0,0.0,0.0,0.0,0.00804477089891572
20,5.0,1.0,2.0,0.0,0.0,6.0,12.0,4.0,0.0,6.0,3.0,4.0,4.0,1.0,0.0,13922.5,5281.0,10423.75,0.0,11525.666666666666,12142.333333333334,30213.75,12697.5,3239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006245662734212343
21,1.0,0.0,2.0,0.0,0.0,1.0,7.0,1.0,2038.0,4.0,2.0,3.0,3.0,4980.0,6833.571428571428,8650.0,0.0,13971.0,10817.5,30003.666666666668,13757.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037931034482758426
22,2.0,0.0,2.0,0.0,0.0,6.0,4.0,3.0,1.0,2.0,6690.5,1.0,3.0,11074.833333333334,5147.5,3833.0,597.0,1188.5,0.0,5211.0,4477.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002061147372037179
23,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,5147.5,2534.5,597.0,1290.0,0.0,5211.0,4477.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034281796366134943
24,3.0,1.0,2.0,0.0,0.0,12.0,11.0,2.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,9187.083333333334,8737.818181818182,2829.5,597.0,3935.8,10062.333333333334,17244.0,7290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002400548696845003
25,1.0,1.0,1.0,0.0,0.0,10.0,7.0,2.0,0.0,4.0,2.0,2.0,1.0,0.0,9345.7,9520.857142857143,2829.5,0.0,4597.25,14323.5,17244.0,7290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048126503953248734
26,2.0,1.0,2.0,0.0,0.0,11.0,8.0,2.0,0.0,6.0,4.0,3.0,1.0,0.0,9825.454545454546,8049.0,2829.5,0.0,3521.3333333333335,8919.25,11985.666666666666,2170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0065630397236614065
27,3.0,0.0,1.0,0.0,0.0,5.0,7.0,1.0,635.6666666666666,4.0,4.0,2.0,2.0,9451.8,6055.142857142857,2300.0,0.0,3910.75,9286.0,17433.0,1923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008692628650904033
28,2.0,1.0,0.0,0.0,0.0,5.0,7.0,1.0,614.5,3.0,3.0,1.0,3.0,9229.6,4480.714285714285,2300.0,0.0,1047.0,4182.666666666667,1469.0,3214.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010522623640827804
29,3.0,1.0,1.0,1.0,0.0,14.0,11.0,4.0,0.0,3.0,7.0,3.0,4.0,28.0,0.0,8349.42857142857,4425.0,5284.0,0.0,1047.0,5625.285714285715,1830.6666666666667,3049.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012052463665366886
30,2.0,1.0,0.0,0.0,0.0,5.0,7.0,1.0,614.5,3.0,2.0,1.0,3.0,9229.6,4480.714285714285,2300.0,0.0,1047.0,5504.0,1469.0,3214.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014352350197344892
31,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,8027.0,0.0,0.0,8933.0,2011.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015289406625409471
32,3.0,0.0,3.0,1.0,0.0,13.0,5.0,4.0,0.0,1.0,6.0,2.0,4.0,0.0,6969.0,4426.8,6403.75,0.0,1469.0,10500.833333333334,2011.5,2946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0170055452865065
33,0.0,0.0,0.0,0.0,0.0,3.0,16657.0,0.0,0.0,0.0,2.0,4481.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018051899210229427
34,3.0,0.0,2.0,0.0,0.0,7.0,5.0,2.0,0.0,3.0,4.0,0.0,4.0,3812.0,6887.5,0.0,1119.6666666666667,12056.75,0.0,2946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019149751053236307
35,3.0,4.0,0.0,1.0,0.0,4.0,5.0,1.0,370.6666666666667,5.0,3.0,31.0,2.0,2386.0,3223.6,6996.0,0.0,1441.0,14902.666666666666,0.0,4911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01991409605622796
36,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,11965.0,0.0,742.0,5544.0,5623.0,22893.0,10127.0,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020318725099601656
37,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,6212.0,742.0,0.0,8259.0,0.0,5244.5,7727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020740138267588516
38,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,8534.0,0.0,2639.0,8259.0,0.0,5952.0,7727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02034883720930226
39,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,8534.0,0.0,2639.0,7580.5,0.0,5952.0,7727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019499788045782146
40,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2639.0,8259.0,0.0,5952.0,7727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019022913964548107
