,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epochs,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
45,7.835432767868042,0.17712763582698912,0.6661962668100992,0.005488779461445522,51,0.02668421052631579,"{'epochs': 51, 'optimizer__learning_rate': 0.02668421052631579}",-1.926024145565707,-2.103127785845538,-1.849271128801556,-1.9594743534042671,0.10630142013701305,337
46,7.826802015304565,0.1103644442410329,0.6201934814453125,0.013788225362259708,51,0.03192105263157895,"{'epochs': 51, 'optimizer__learning_rate': 0.03192105263157895}",-2.124513774501204,-2.2594485090295744,-1.9522910736340173,-2.112084452388265,0.12570411970399473,355
47,7.829371929168701,0.08487352791133415,0.6151542663574219,0.026383221112211624,51,0.037157894736842105,"{'epochs': 51, 'optimizer__learning_rate': 0.037157894736842105}",-1.9075238977487643,-2.4585891367201542,-2.036266917067511,-2.1341266505121435,0.23537292392150747,356
48,8.833729187647501,0.07227887078264128,0.6561572551727295,0.02458757115926432,51,0.04239473684210526,"{'epochs': 51, 'optimizer__learning_rate': 0.04239473684210526}",-1.8803754493415052,-2.14707886009655,-2.0526978512480083,-2.0267173868953545,0.11042015432905404,346
49,8.897088607152304,0.01748639564537539,0.6204981803894043,0.04831090303391103,51,0.04763157894736842,"{'epochs': 51, 'optimizer__learning_rate': 0.04763157894736842}",-2.171607561699549,-2.213662109330913,-2.083164141725842,-2.1561446042521015,0.05438601031533574,359
50,8.685243209203085,0.7343381297529581,0.6953665415445963,0.04771048566613285,51,0.05286842105263158,"{'epochs': 51, 'optimizer__learning_rate': 0.05286842105263158}",-2.193182535342319,-1.9395024910299568,-1.9307720283351752,-2.02115235156915,0.12169591431511823,345
51,7.7735317548116045,0.05631466206922304,0.6898299058278402,0.019875716121850562,51,0.058105263157894736,"{'epochs': 51, 'optimizer__learning_rate': 0.058105263157894736}",-1.8144729384492801,-2.187338538777403,-2.13241995503948,-2.0447438107553877,0.16436244235308464,351
52,7.949232260386149,0.11194026521166876,0.6206681728363037,0.014347752171657511,51,0.0633421052631579,"{'epochs': 51, 'optimizer__learning_rate': 0.0633421052631579}",-2.0808111544861188,-1.7570973019498997,-2.088643863675819,-1.9755174400372792,0.1544794600691735,340
53,8.396867990493774,0.29753208894432487,0.6355922222137451,0.046675101087740804,51,0.06857894736842104,"{'epochs': 51, 'optimizer__learning_rate': 0.06857894736842104}",-1.9582578121700969,-2.3604283574459255,-1.8104507091532405,-2.0430456262564207,0.23239418160895062,348
54,9.796911001205444,2.3907484584826166,0.5044143199920654,0.04384257918014194,51,0.07381578947368421,"{'epochs': 51, 'optimizer__learning_rate': 0.07381578947368421}",-1.87422721529228,-2.5133680664662053,-2.0517909259373974,-2.1464620692319607,0.26937857615798777,358
55,7.861184438069661,0.19849923137692668,0.532616376876831,0.049372042217212794,51,0.07905263157894737,"{'epochs': 51, 'optimizer__learning_rate': 0.07905263157894737}",-1.95025891221503,-2.1779697831355547,-2.0042085640650154,-2.044145753138533,0.09715724192313684,349
56,7.346533298492432,0.14039353402787777,0.7291927337646484,0.012775186339232738,51,0.08428947368421053,"{'epochs': 51, 'optimizer__learning_rate': 0.08428947368421053}",-2.050398077168144,-2.282107079683767,-2.246009310891778,-2.1928381559145627,0.1017927445119233,360
57,7.764623483022054,0.17895149149428366,0.5979198614756266,0.0171904433216232,51,0.08952631578947368,"{'epochs': 51, 'optimizer__learning_rate': 0.08952631578947368}",-2.132428683249286,-2.115333042116398,-1.983469257223693,-2.077076994196459,0.06655760188141817,353
58,8.122052907943726,0.21601453630948475,0.5937521457672119,0.04704955210616652,51,0.09476315789473684,"{'epochs': 51, 'optimizer__learning_rate': 0.09476315789473684}",-1.9251342856602176,-2.2972313142877323,-1.9103381899614642,-2.0442345966364712,0.1789976451776495,350
59,8.392117818196615,0.0746768745091712,0.5993452866872152,0.04859941785055767,51,0.1,"{'epochs': 51, 'optimizer__learning_rate': 0.1}",-1.7421869316807637,-2.1713070254365303,-2.083057603907365,-1.998850520341553,0.18502997668528243,344
60,10.632359663645426,0.07022669307101356,0.7729100386301676,0.14342604852826443,71,0.0005,"{'epochs': 71, 'optimizer__learning_rate': 0.0005}",-2.049125404709716,-2.039941241154815,-1.778492482639314,-1.955853042834615,0.1254688897685904,333
61,10.289305766423544,0.40640931218541193,0.6581308046976725,0.08575649254496454,71,0.005736842105263158,"{'epochs': 71, 'optimizer__learning_rate': 0.005736842105263158}",-2.07864546447814,-1.7921013076462806,-1.6496136855660901,-1.8401201525635036,0.1784123013873533,322
62,10.098031123479208,0.04620324982383819,0.719450314839681,0.09579143222767893,71,0.010973684210526316,"{'epochs': 71, 'optimizer__learning_rate': 0.010973684210526316}",-1.669469827543783,-2.165418231621907,-1.7020199044774658,-1.845635987881052,0.22651032270229815,324
63,10.293912887573242,0.10960611120943167,0.6790863672892252,0.012500235514728729,71,0.016210526315789474,"{'epochs': 71, 'optimizer__learning_rate': 0.016210526315789474}",-2.066503105882218,-1.9482229005574716,-1.867574158490544,-1.9607667216434113,0.08169533692595067,338
64,11.00520396232605,0.124978284096991,0.6032505830128988,0.012846174309534929,71,0.02144736842105263,"{'epochs': 71, 'optimizer__learning_rate': 0.02144736842105263}",-2.0547130379491603,-2.0232330824586713,-2.0676016554615146,-2.048515925289782,0.018635910165804966,352
65,10.865572452545166,0.18506115404412085,0.6998586654663086,0.038066970593385,71,0.02668421052631579,"{'epochs': 71, 'optimizer__learning_rate': 0.02668421052631579}",-1.8932315816830887,-1.938336807358154,-1.9885365016807222,-1.9400349635739882,0.03892659540587353,331
66,10.444151401519775,0.24690754249509506,0.6430683135986328,0.09170009514158806,71,0.03192105263157895,"{'epochs': 71, 'optimizer__learning_rate': 0.03192105263157895}",-1.746029067140282,-1.8745884077877661,-2.075605499694646,-1.8987409915408981,0.1356285778643998,327
67,9.978316068649292,0.1367763375545858,0.702020009358724,0.02052287668334468,71,0.037157894736842105,"{'epochs': 71, 'optimizer__learning_rate': 0.037157894736842105}",-1.8581235065976789,-1.9121850128401885,-1.9161200128102256,-1.895476177416031,0.026461135893219925,326
68,10.282022714614868,0.12588528494747628,0.7039185365041097,0.07924911822156155,71,0.04239473684210526,"{'epochs': 71, 'optimizer__learning_rate': 0.04239473684210526}",-2.0255613408407505,-1.726491048255389,-2.0808649493156404,-1.9443057794705931,0.1556643078943698,332
69,10.942197799682617,0.40553009130414347,0.7314693927764893,0.07548069342099237,71,0.04763157894736842,"{'epochs': 71, 'optimizer__learning_rate': 0.04763157894736842}",-1.955838324162464,-1.9324237073676263,-1.8126893312440084,-1.9003171209246996,0.06269520562826077,328
70,11.990849494934082,1.0810559924350638,0.663880189259847,0.04980052307273065,71,0.05286842105263158,"{'epochs': 71, 'optimizer__learning_rate': 0.05286842105263158}",-1.8293210386289165,-1.8139095030529888,-1.7495461645520805,-1.7975922354113287,0.034551387342728994,318
